id,name,type,sex,age,education,media
Reitzle,Prof. Dr.-Ing. Wolfgang Reitzle,1,1,69,4,99
RK,Robert-Koch-Stiftung,2,99,99,99,2
RZH,Regionalzeitungsgruppe Hamburg,2,99,99,99,1
SC,Schering AG,2,99,99,99,2
SeL,"SeLoger.com SAS, Frankreich",2,99,99,99,1
SIE,Siemens AG,2,99,99,99,2
Springer,Axel Springer SE,2,99,99,99,1
STE,Steilmann SE,2,99,99,99,2
StSt,StepStone GmbH,2,99,99,99,2
SV,Stifterverband,2,99,99,99,2
SZ,Süddeutsche Zeitung ,2,99,99,99,1
TAG,TAG Immobilien AG,2,99,99,99,2
TEX,TEX’S BAR-B-Q,2,99,99,99,2
TK,Trilaterale Kommision,2,99,99,99,2
TR,Trumpf GmbH + Co. KG,2,99,99,99,2
UC,UniCredit SpA,2,99,99,99,2
UZH,Universität zu Hamburg,2,99,99,99,2
VA,Vattenfall Europe AG,2,99,99,99,2
Varsavsky,Martin Varsavsky,1,1,59,2,99
VG,Vodafone Group Public Limited Company,2,99,99,99,2
Vita,Dr. Guiseppe Vita,1,1,83,3,99
VO,Voith GmbH,2,99,99,99,2
VSM,Volksstimme Magdeburg,2,99,99,99,2
VVIM,Visoon Video Impact Management GmbH,2,99,99,99,1
WB,Willy Bogner GmbH & Co. KGaA,2,99,99,99,2
WBE,Warner Bros. Entertainment (Frankreich),2,99,99,99,1
Wiele,Dr. Andreas Wiele,1,1,57,3,99
WM,WarnerMedia,2,99,99,99,1
WMG,"Warner Music Group, USA",2,99,99,99,1
WP,Berliner Wochenpost,2,99,99,99,1
YAC,Yacom,2,99,99,99,2
YA,YooApplications AG,2,99,99,99,2
ZS,Zalando SE,2,99,99,99,2
