id,name,name_2,type,sex,age,education,media
MeSt,meinestadt.de GmbH,MeSt,2,99,99,99,2
Mews,Mews GmbH & Co. KG seit 2009,Mews,2,99,99,99,2
MIG,Media Impact Gmbh & Co.KG ,MIG,2,99,99,99,3
MKS,McKinsey,MKS,2,99,99,99,2
MP,Medical Park AG,MP,2,99,99,99,2
MPO,Mirapodo,MPO,2,99,99,99,2
Net,Netflix  Inc.,Net,2,99,99,99,1
NS,Nassauische Sparkasse,NS,2,99,99,99,2
OL,Overture Life,OL,2,99,99,99,2
ONET,"ONET S.A. , Polen",ONET,2,99,99,99,2
PF,Prelude Fertitiy ,PF,2,99,99,99,2
PI,Pirelli SpA,PI,2,99,99,99,2
PSM,ProSiebenSat. 1 Media AG,PSM,2,99,99,99,1
PT,Palantir Technologies,PT,2,99,99,99,2
RAS,"Ringier Axel Springer AG, Schweiz",RAS,2,99,99,99,3
RCS,RCS MediaGroup,RCS,2,99,99,99,2
Reitzle,Prof. Dr.-Ing. Wolfgang Reitzle,Reitzle,1,1,69,4,99
RK,Robert-Koch-Stiftung,RK,2,99,99,99,2
RZH,Regionalzeitungsgruppe Hamburg,RZH,2,99,99,99,3
SC,Schering AG,SC,2,99,99,99,2
SeL,"SeLoger.com SAS, Frankreich",SeL,2,99,99,99,3
SIE,Siemens AG,SIE,2,99,99,99,2
Springer,Axel Springer SE,Springer,2,99,99,99,3
STE,Steilmann SE,STE,2,99,99,99,2
StSt,StepStone GmbH,StSt,2,99,99,99,2
SV,Stifterverband,SV,2,99,99,99,2
SZ,Süddeutsche Zeitung ,SZ,2,99,99,99,1
TAG,TAG Immobilien AG,TAG,2,99,99,99,2
TEX,TEX’S BAR-B-Q,TEX,2,99,99,99,2
TK,Trilaterale Kommision,TK,2,99,99,99,2
TR,Trumpf GmbH + Co. KG,TR,2,99,99,99,2
UC,UniCredit SpA,UC,2,99,99,99,2
UZH,Universität zu Hamburg,UZH,2,99,99,99,2
VA,Vattenfall Europe AG,VA,2,99,99,99,2
Varsavsky,Martin Varsavsky,Varsavsky,1,1,59,2,99
VG,Vodafone Group Public Limited Company,VG,2,99,99,99,2
Vita,Dr. Guiseppe Vita,Vita,1,1,83,3,99
VO,Voith GmbH,VO,2,99,99,99,2
VSM,Volksstimme Magdeburg,VSM,2,99,99,99,2
VVIM,Visoon Video Impact Management GmbH,VVIM,2,99,99,99,3
WB,Willy Bogner GmbH & Co. KGaA,WB,2,99,99,99,2
WBE,Warner Bros. Entertainment (Frankreich),WBE,2,99,99,99,1
Wiele,Dr. Andreas Wiele,Wiele,1,1,57,3,99
WM,WarnerMedia,WM,2,99,99,99,1
WMG,"Warner Music Group, USA",WMG,2,99,99,99,1
WP,Berliner Wochenpost,WP,2,99,99,99,1
YAC,Yacom,YAC,2,99,99,99,2
YA,YooApplications AG,YA,2,99,99,99,2
ZS,Zalando SE,ZS,2,99,99,99,2
