id,name,name_2,type,sex,age,education,media,level
LBBW,Landesbank Baden-Württemberg,LBBW,2,99,99,99,2,1
LEI,"@Leisure Holding B.V., Niederlande",LEI,2,99,99,99,2,1
Leibinger-Kammueller,Dr. Nicola Leibinger-Kammüller,Leibinger-Kammueller,1,2,4,3,99,1
LIN,Linde AG,LIN,2,99,99,99,2,1
MAG,"Magnolia AG, Schweiz",MAG,2,99,99,99,2,1
MCM,Mc Call's Magazin,MCM,2,99,99,99,1,1
MeSt,meinestadt.de GmbH,MeSt,2,99,99,99,2,1
Mews,Mews GmbH & Co. KG seit 2009,Mews,2,99,99,99,2,1
MIG,Media Impact Gmbh & Co.KG ,MIG,2,99,99,99,3,1
MKS,McKinsey,MKS,2,99,99,99,2,1
MP,Medical Park AG,MP,2,99,99,99,2,1
MPO,Mirapodo,MPO,2,99,99,99,2,1
Net,Netflix  Inc.,Net,2,99,99,99,1,1
NS,Nassauische Sparkasse,NS,2,99,99,99,2,1
OL,Overture Life,OL,2,99,99,99,2,1
ONET,"ONET S.A. , Polen",ONET,2,99,99,99,2,1
PF,Prelude Fertitiy ,PF,2,99,99,99,2,1
PI,Pirelli SpA,PI,2,99,99,99,2,1
PSM,ProSiebenSat. 1 Media AG,PSM,2,99,99,99,1,1
PT,Palantir Technologies,PT,2,99,99,99,2,1
RAS,"Ringier Axel Springer AG, Schweiz",RAS,2,99,99,99,3,1
RCS,RCS MediaGroup,RCS,2,99,99,99,2,1
Reitzle,Prof. Dr.-Ing. Wolfgang Reitzle,Reitzle,1,1,5,4,99,1
RK,Robert-Koch-Stiftung,RK,2,99,99,99,2,1
RZH,Regionalzeitungsgruppe Hamburg,RZH,2,99,99,99,3,1
SC,Schering AG,SC,2,99,99,99,2,1
SeL,"SeLoger.com SAS, Frankreich",SeL,2,99,99,99,3,1
SIEM,Siemens AG,SIEM,2,99,99,99,2,1
Springer,2,Springer,2,99,99,99,3,1
STE,Steilmann SE,STE,2,99,99,99,2,1
StSt,StepStone GmbH,StSt,2,99,99,99,2,1
SV,Stifterverband,SV,2,99,99,99,2,1
SZ,Süddeutsche Zeitung ,SZ,2,99,99,99,1,1
TAG,TAG Immobilien AG,TAG,2,99,99,99,2,1
TEX,TEX’S BAR-B-Q,TEX,2,99,99,99,2,1
TK,Trilaterale Kommision,TK,2,99,99,99,2,1
TR,Trumpf GmbH + Co. KG,TR,2,99,99,99,2,1
UC,UniCredit SpA,UC,2,99,99,99,2,1
UZH,Universität zu Hamburg,UZH,2,99,99,99,2,1
VA,Vattenfall Europe AG,VA,2,99,99,99,2,1
Varsavsky,Martin Varsavsky,Varsavsky,1,1,4,2,99,1
VG,Vodafone Group Public Limited Company,VG,2,99,99,99,2,1
Vita,Dr. Guiseppe Vita,Vita,1,1,5,3,99,1
VO,Voith GmbH,VO,2,99,99,99,2,1
VSM,Volksstimme Magdeburg,VSM,2,99,99,99,2,1
VVIM,Visoon Video Impact Management GmbH,VVIM,2,99,99,99,3,1
WB,Willy Bogner GmbH & Co. KGaA,WB,2,99,99,99,2,1
WBE,Warner Bros. Entertainment (Frankreich),WBE,2,99,99,99,1,1
Wiele,Dr. Andreas Wiele,Wiele,1,1,4,3,99,2
WM,WarnerMedia,WM,2,99,99,99,1,1
WMG,"Warner Music Group, USA",WMG,2,99,99,99,1,1
WP,Berliner Wochenpost,WP,2,99,99,99,1,1
YAC,Yacom,YAC,2,99,99,99,2,1
YA,YooApplications AG,YA,2,99,99,99,2,1
ZS,Zalando SE,ZS,2,99,99,99,2,1
Buechi,Ralph Büchi,Buechi,1,1,5,1,99,2
